         12276741 function calls (11869163 primitive calls) in 10.052 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.044    0.044 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/gridspec.py:244(subplots)
        1    0.000    0.000    0.044    0.044 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/figure.py:1254(add_subplot)
        1    0.000    0.000    0.044    0.044 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/axes/_subplots.py:18(__init__)
        1    0.000    0.000    0.043    0.043 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/axes/_base.py:434(__init__)
       26    0.001    0.000    0.043    0.002 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/text.py:266(_get_layout)
9258/3086    0.010    0.000    0.042    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/matrices/matrices.py:966(<listcomp>)
       26    0.000    0.000    0.039    0.001 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/backends/backend_agg.py:215(get_text_width_height_descent)
   237746    0.038    0.000    0.038    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/core.py:71(<lambda>)
    75572    0.032    0.000    0.038    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/containers.py:57(<genexpr>)
22231/22206    0.024    0.000    0.037    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/assumptions.py:452(getit)
     3464    0.016    0.000    0.035    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/utilities/iterables.py:2029(has_dups)
162565/162560    0.035    0.000    0.035    0.000 {built-in method builtins.iter}
    18701    0.021    0.000    0.035    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/core/numbers.py:2137(__neg__)
       26    0.000    0.000    0.035    0.001 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/backends/backend_agg.py:268(_get_agg_font)
     6706    0.018    0.000    0.034    0.000 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/sympy/geometry/point.py:231(__eq__)
        4    0.000    0.000    0.034    0.009 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/axis.py:1375(get_major_ticks)
        1    0.000    0.000    0.034    0.034 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/axes/_base.py:1038(cla)
        1    0.000    0.000    0.034    0.034 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/axis.py:2048(_update_label_position)
       13    0.000    0.000    0.033    0.003 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/tkinter/__init__.py:2286(__init__)
        1    0.000    0.000    0.033    0.033 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/backends/_backend_tk.py:407(__init__)
   111145    0.033    0.000    0.033    0.000 {built-in method gmpy2._mpmath_normalize}
        1    0.000    0.000    0.033    0.033 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/axis.py:2029(_get_tick_boxes_siblings)
    39220    0.019    0.000    0.033    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.033    0.033 /Users/dorukhansergin/miniconda3/envs/autonavigate/lib/python3.6/site-packages/matplotlib/backends/_backend_tk.py:424(_get_toolbar)
